name,proTeam,position,projRank,avgRank,newPosRank,avgPosRank,tier,posTier,fullSos,seasonSos,playoffSos,pastPosRank,pastPoints,pastPPG,games,composite,recTarget,receptions,recYard,recTD
Albert Okwuegbunam,DEN,TE,425,349.5,59,57.0,15,7,15,19,6,0,0.0,0.0,0,1007.88,0,0,0,0
Kahale Warring,HOU,TE,431,333.4,61,59.1,15,7,24,28,8,0,0.0,0.0,0,1003.75,0,0,0,0
Josiah Deguara,GB,TE,484,365.0,70,63.5,16,8,18,17,17,0,0.0,0.0,0,1112.1,0,0,0,0
Thaddeus Moss,FA,TE,452,355.1,72,58.8,15,8,32,32,32,0,0.0,0.0,0,1065.79,0,0,0,0
Harrison Bryant,CLE,TE,500,500,74,67.2,0,8,30,31,12,0,0.0,0.0,0,10000.0,0,0,0,0
Brycen Hopkins,LAR,TE,493,362.8,77,69.1,16,8,8,15,4,0,0.0,0.0,0,1130.69,0,0,0,0
Hunter Bryant,DET,TE,485,340.3,78,70.5,16,8,4,4,16,0,0.0,0.0,0,1098.68,0,0,0,0
Richard Rodgers,WAS,TE,498,365.0,87,71.6,16,9,29,29,22,0,0.0,0.0,0,1159.23,0,0,0,0
Donald Parham,LAC,TE,500,500,92,83.2,0,9,11,7,29,0,0.0,0.0,0,10000.0,0,0,0,0
Caleb Wilson,PHI,TE,500,500,94,57.5,0,9,7,16,2,0,0.0,0.0,0,10000.0,0,0,0,0
Colby Parkinson,SEA,TE,500,500,95,86.6,0,9,19,24,5,0,0.0,0.0,0,10000.0,0,0,0,0
Marcus Baugh,WAS,TE,500,500,96,62.5,0,9,29,29,22,0,0.0,0.0,0,10000.0,0,0,0,0
Khari Lee,FA,TE,500,500,97,83.5,0,9,32,32,32,0,0.0,0.0,0,10000.0,0,0,0,0
Jake Butt,DEN,TE,500,500,109,95.7,0,10,15,19,6,0,0.0,0.0,0,10000.0,0,0,0,0
Jason Croom,BUF,TE,500,500,110,91.5,0,10,25,12,32,0,0.0,0.0,0,10000.0,0,0,0,0
Temarrick Hemingway,CAR,TE,500,500,111,92.0,0,10,2,5,3,0,0.0,0.0,0,10000.0,0,0,0,0
Charlie Woerner,SF,TE,500,500,116,95.7,0,10,5,3,20,0,0.0,0.0,0,10000.0,0,0,0,0
Stephen Anderson,LAC,TE,500,500,118,99.7,0,10,11,7,29,0,0.0,0.0,0,10000.0,0,0,0,0
Nick Keizer,KC,TE,500,500,119,105.0,0,10,21,18,15,0,0.0,0.0,0,10000.0,0,0,0,0
