name,proTeam,position,projRank,avgRank,newPosRank,avgPosRank,tier,posTier,fullSos,seasonSos,playoffSos,pastPosRank,pastPoints,pastPPG,games,composite,recTarget,receptions,recYard,recTD,rushAtt,rushYard,rushTD
Van Jefferson,LAR,WR,265,250.8,91,90.6,12,8,19,14,28,0,0.0,0.0,0,686.04,0,0,0,0,0,0,0
KJ Hamler,DEN,WR,268,254.1,92,91.3,12,8,32,32,19,0,0.0,0.0,0,696.73,0,0,0,0,0,0,0
Antonio Gandy-Golden,WAS,WR,283,268.4,99,96.1,12,8,9,12,11,0,0.0,0.0,0,730.31,0,0,0,0,0,0,0
Devin Duvernay,BAL,WR,300,282.7,102,100.1,13,8,30,25,23,0,0.0,0.0,0,772.63,0,0,0,0,0,0,0
Scott Miller,TB,WR,332,280.4,110,102.5,13,9,2,4,5,0,0.0,0.0,0,805.03,0,0,0,0,0,0,0
Trent Taylor,SF,WR,348,291.0,113,104.3,14,9,6,10,8,0,0.0,0.0,0,836.76,0,0,0,0,0,0,0
Tyler Johnson,TB,WR,381,328.2,116,116.9,14,10,2,4,5,0,0.0,0.0,0,918.27,0,0,0,0,0,0,0
Quintez Cephus,DET,WR,384,312.9,123,112.7,14,10,13,21,4,0,0.0,0.0,0,911.86,0,0,0,0,0,0,0
Equanimeous St,GB,WR,397,316.4,129,118.2,14,10,15,17,16,0,0.0,0.0,0,938.93,0,0,0,0,0,0,0
Donovan Peoples-Jones,CLE,WR,415,344.1,130,124.5,15,10,24,29,12,0,0.0,0.0,0,992.37,0,0,0,0,0,0,0
Hakeem Butler,FA,WR,411,333.1,132,125.5,14,10,32,32,32,0,0.0,0.0,0,981.92,0,0,0,0,0,0,0
Joe Reed,LAC,WR,412,326.8,133,121.8,14,10,18,20,15,0,0.0,0.0,0,971.0,0,0,0,0,0,0,0
Gabriel Davis,BUF,WR,435,347.6,134,129.2,15,10,22,11,31,0,0.0,0.0,0,1022.48,0,0,0,0,0,0,0
KJ Hill,LAC,WR,430,338.7,136,126.5,15,10,18,20,15,0,0.0,0.0,0,1007.66,0,0,0,0,0,0,0
John Hightower,PHI,WR,416,291.0,139,122.3,15,10,17,19,17,0,0.0,0.0,0,947.67,0,0,0,0,0,0,0
Corey Coleman,NYG,WR,487,366.8,151,145.4,16,11,8,15,2,0,0.0,0.0,0,1120.24,0,0,0,0,0,0,0
Collin Johnson,JAC,WR,441,304.0,153,137.5,15,11,10,9,22,0,0.0,0.0,0,1010.8,0,0,0,0,0,0,0
Isaiah Coulter,HOU,WR,466,346.2,154,135.4,15,11,21,28,6,0,0.0,0.0,0,1076.21,0,0,0,0,0,0,0
James Proche,BAL,WR,500,500,157,144.9,0,11,30,25,23,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Gary Jennings,MIA,WR,443,306.2,161,126.7,15,11,28,31,10,0,0.0,0.0,0,1016.41,0,0,0,0,0,0,0
Darnell Mooney,CHI,WR,502,354.3,162,147.0,16,11,14,5,32,0,0.0,0.0,0,1136.01,0,0,0,0,0,0,0
KJ Osborn,MIN,WR,533,386.0,168,151.1,16,11,23,18,24,0,0.0,0.0,0,1207.31,0,0,0,0,0,0,0
Dezmon Patmon,IND,WR,500,500,169,152.7,0,11,12,23,1,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Quez Watkins,PHI,WR,519,360.0,174,153.1,16,11,17,19,17,0,0.0,0.0,0,1175.48,0,0,0,0,0,0,0
Isaiah Hodgins,BUF,WR,500,500,181,153.6,0,11,22,11,31,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Reggie Begelton,GB,WR,500,500,186,156.3,0,12,15,17,16,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Keith Kirkwood,CAR,WR,500,500,191,172.6,0,12,4,2,14,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Rysen John,NYG,WR,463,252.5,194,93.0,15,12,8,15,2,0,0.0,0.0,0,979.92,0,0,0,0,0,0,0
Jeff Thomas,NE,WR,500,500,195,151.3,0,12,20,13,29,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Noah Brown,DAL,WR,500,500,197,164.0,0,12,5,3,13,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
